Timestamp,Room_ID,IT_Load_kW,Rack_Count,Status
2026-08-09 00:00:00,Room A,178.6,6,Active
2026-08-09 00:00:00,Room B,158.7,6,Active
2026-08-09 00:15:00,Room A,174.6,6,Active
2026-08-09 00:15:00,Room B,155.7,6,Active
2026-08-09 00:30:00,Room A,177.1,6,Active
2026-08-09 00:30:00,Room B,156.1,6,Active
2026-08-09 00:45:00,Room A,175.1,6,Active
2026-08-09 00:45:00,Room B,156.5,6,Active
2026-08-09 01:00:00,Room A,175.2,6,Active
2026-08-09 01:00:00,Room B,157.5,6,Active
2026-08-09 01:15:00,Room A,174.4,6,Active
2026-08-09 01:15:00,Room B,154.3,6,Active
2026-08-09 01:30:00,Room A,175.0,6,Active
2026-08-09 01:30:00,Room B,158.1,6,Active
2026-08-09 01:45:00,Room A,172.8,6,Active
2026-08-09 01:45:00,Room B,154.4,6,Active
2026-08-09 02:00:00,Room A,170.6,6,Active
2026-08-09 02:00:00,Room B,156.1,6,Active
2026-08-09 02:15:00,Room A,170.3,6,Active
2026-08-09 02:15:00,Room B,157.3,6,Active
2026-08-09 02:30:00,Room A,172.9,6,Active
2026-08-09 02:30:00,Room B,154.0,6,Active
2026-08-09 02:45:00,Room A,168.5,6,Active
2026-08-09 02:45:00,Room B,157.1,6,Active
2026-08-09 03:00:00,Room A,171.4,6,Active
2026-08-09 03:00:00,Room B,150.1,6,Active
2026-08-09 03:15:00,Room A,171.5,6,Active
2026-08-09 03:15:00,Room B,155.7,6,Active
2026-08-09 03:30:00,Room A,168.1,6,Active
2026-08-09 03:30:00,Room B,156.7,6,Active
2026-08-09 03:45:00,Room A,169.1,6,Active
2026-08-09 03:45:00,Room B,153.6,6,Active
2026-08-09 04:00:00,Room A,170.8,6,Active
2026-08-09 04:00:00,Room B,154.5,6,Active
2026-08-09 04:15:00,Room A,172.1,6,Active
2026-08-09 04:15:00,Room B,158.2,6,Active
2026-08-09 04:30:00,Room A,171.8,6,Active
2026-08-09 04:30:00,Room B,155.1,6,Active
2026-08-09 04:45:00,Room A,168.6,6,Active
2026-08-09 04:45:00,Room B,157.1,6,Active
2026-08-09 05:00:00,Room A,176.9,6,Active
2026-08-09 05:00:00,Room B,160.6,6,Active
2026-08-09 05:15:00,Room A,173.5,6,Active
2026-08-09 05:15:00,Room B,154.4,6,Active
2026-08-09 05:30:00,Room A,171.4,6,Active
2026-08-09 05:30:00,Room B,159.1,6,Active
2026-08-09 05:45:00,Room A,176.1,6,Active
2026-08-09 05:45:00,Room B,155.6,6,Active
2026-08-09 06:00:00,Room A,176.0,6,Active
2026-08-09 06:00:00,Room B,163.8,6,Active
2026-08-09 06:15:00,Room A,177.7,6,Active
2026-08-09 06:15:00,Room B,160.3,6,Active
2026-08-09 06:30:00,Room A,175.3,6,Active
2026-08-09 06:30:00,Room B,165.1,6,Active
2026-08-09 06:45:00,Room A,176.6,6,Active
2026-08-09 06:45:00,Room B,166.3,6,Active
2026-08-09 07:00:00,Room A,179.9,6,Active
2026-08-09 07:00:00,Room B,164.2,6,Active
2026-08-09 07:15:00,Room A,180.3,6,Active
2026-08-09 07:15:00,Room B,167.6,6,Active
2026-08-09 07:30:00,Room A,185.6,6,Active
2026-08-09 07:30:00,Room B,165.6,6,Active
2026-08-09 07:45:00,Room A,184.1,6,Active
2026-08-09 07:45:00,Room B,168.1,6,Active
2026-08-09 08:00:00,Room A,184.8,6,Active
2026-08-09 08:00:00,Room B,171.2,6,Active
2026-08-09 08:15:00,Room A,187.7,6,Active
2026-08-09 08:15:00,Room B,172.0,6,Active
2026-08-09 08:30:00,Room A,189.7,6,Active
2026-08-09 08:30:00,Room B,171.0,6,Active
2026-08-09 08:45:00,Room A,193.5,6,Active
2026-08-09 08:45:00,Room B,172.6,6,Active
2026-08-09 09:00:00,Room A,196.4,6,Active
2026-08-09 09:00:00,Room B,171.6,6,Active
2026-08-09 09:15:00,Room A,191.7,6,Active
2026-08-09 09:15:00,Room B,177.8,6,Active
2026-08-09 09:30:00,Room A,197.7,6,Active
2026-08-09 09:30:00,Room B,177.9,6,Active
2026-08-09 09:45:00,Room A,196.2,6,Active
2026-08-09 09:45:00,Room B,175.4,6,Active
2026-08-09 10:00:00,Room A,199.1,6,Active
2026-08-09 10:00:00,Room B,182.2,6,Active
2026-08-09 10:15:00,Room A,200.9,6,Active
2026-08-09 10:15:00,Room B,183.5,6,Active
2026-08-09 10:30:00,Room A,198.6,6,Active
2026-08-09 10:30:00,Room B,184.9,6,Active
2026-08-09 10:45:00,Room A,206.6,6,Active
2026-08-09 10:45:00,Room B,186.9,6,Active
2026-08-09 11:00:00,Room A,204.4,6,Active
2026-08-09 11:00:00,Room B,185.1,6,Active
2026-08-09 11:15:00,Room A,203.3,6,Active
2026-08-09 11:15:00,Room B,183.3,6,Active
2026-08-09 11:30:00,Room A,208.6,6,Active
2026-08-09 11:30:00,Room B,188.4,6,Active
2026-08-09 11:45:00,Room A,205.9,6,Active
2026-08-09 11:45:00,Room B,189.5,6,Active
2026-08-09 12:00:00,Room A,210.0,6,Active
2026-08-09 12:00:00,Room B,185.7,6,Active
2026-08-09 12:15:00,Room A,210.2,6,Active
2026-08-09 12:15:00,Room B,190.2,6,Active
2026-08-09 12:30:00,Room A,214.3,6,Active
2026-08-09 12:30:00,Room B,193.8,6,Active
2026-08-09 12:45:00,Room A,213.1,6,Active
2026-08-09 12:45:00,Room B,195.7,6,Active
2026-08-09 13:00:00,Room A,217.2,6,Active
2026-08-09 13:00:00,Room B,195.2,6,Active
2026-08-09 13:15:00,Room A,210.7,6,Active
2026-08-09 13:15:00,Room B,193.2,6,Active
2026-08-09 13:30:00,Room A,218.1,6,Active
2026-08-09 13:30:00,Room B,193.8,6,Active
2026-08-09 13:45:00,Room A,214.0,6,Active
2026-08-09 13:45:00,Room B,194.7,6,Active
2026-08-09 14:00:00,Room A,218.9,6,Active
2026-08-09 14:00:00,Room B,194.2,6,Active
2026-08-09 14:15:00,Room A,212.5,6,Active
2026-08-09 14:15:00,Room B,191.5,6,Active
2026-08-09 14:30:00,Room A,214.7,6,Active
2026-08-09 14:30:00,Room B,193.8,6,Active
2026-08-09 14:45:00,Room A,216.0,6,Active
2026-08-09 14:45:00,Room B,198.5,6,Active
2026-08-09 15:00:00,Room A,218.0,6,Active
2026-08-09 15:00:00,Room B,195.2,6,Active
2026-08-09 15:15:00,Room A,217.4,6,Active
2026-08-09 15:15:00,Room B,193.8,6,Active
2026-08-09 15:30:00,Room A,219.8,6,Active
2026-08-09 15:30:00,Room B,191.8,6,Active
2026-08-09 15:45:00,Room A,219.5,6,Active
2026-08-09 15:45:00,Room B,195.2,6,Active
2026-08-09 16:00:00,Room A,215.7,6,Active
2026-08-09 16:00:00,Room B,194.7,6,Active
2026-08-09 16:15:00,Room A,218.7,6,Active
2026-08-09 16:15:00,Room B,196.9,6,Active
2026-08-09 16:30:00,Room A,217.9,6,Active
2026-08-09 16:30:00,Room B,196.3,6,Active
2026-08-09 16:45:00,Room A,213.2,6,Active
2026-08-09 16:45:00,Room B,193.1,6,Active
2026-08-09 17:00:00,Room A,211.4,6,Active
2026-08-09 17:00:00,Room B,196.5,6,Active
2026-08-09 17:15:00,Room A,213.7,6,Active
2026-08-09 17:15:00,Room B,192.9,6,Active
2026-08-09 17:30:00,Room A,211.5,6,Active
2026-08-09 17:30:00,Room B,192.3,6,Active
2026-08-09 17:45:00,Room A,210.8,6,Active
2026-08-09 17:45:00,Room B,187.9,6,Active
2026-08-09 18:00:00,Room A,209.5,6,Active
2026-08-09 18:00:00,Room B,186.3,6,Active
2026-08-09 18:15:00,Room A,205.7,6,Active
2026-08-09 18:15:00,Room B,186.1,6,Active
2026-08-09 18:30:00,Room A,211.3,6,Active
2026-08-09 18:30:00,Room B,185.4,6,Active
2026-08-09 18:45:00,Room A,208.7,6,Active
2026-08-09 18:45:00,Room B,189.1,6,Active
2026-08-09 19:00:00,Room A,202.6,6,Active
2026-08-09 19:00:00,Room B,182.2,6,Active
2026-08-09 19:15:00,Room A,206.7,6,Active
2026-08-09 19:15:00,Room B,180.7,6,Active
2026-08-09 19:30:00,Room A,198.6,6,Active
2026-08-09 19:30:00,Room B,179.4,6,Active
2026-08-09 19:45:00,Room A,198.1,6,Active
2026-08-09 19:45:00,Room B,180.5,6,Active
2026-08-09 20:00:00,Room A,202.5,6,Active
2026-08-09 20:00:00,Room B,182.8,6,Active
2026-08-09 20:15:00,Room A,194.8,6,Active
2026-08-09 20:15:00,Room B,177.2,6,Active
2026-08-09 20:30:00,Room A,200.1,6,Active
2026-08-09 20:30:00,Room B,176.3,6,Active
2026-08-09 20:45:00,Room A,195.5,6,Active
2026-08-09 20:45:00,Room B,179.6,6,Active
2026-08-09 21:00:00,Room A,193.5,6,Active
2026-08-09 21:00:00,Room B,177.8,6,Active
2026-08-09 21:15:00,Room A,187.8,6,Active
2026-08-09 21:15:00,Room B,174.9,6,Active
2026-08-09 21:30:00,Room A,191.4,6,Active
2026-08-09 21:30:00,Room B,170.3,6,Active
2026-08-09 21:45:00,Room A,188.8,6,Active
2026-08-09 21:45:00,Room B,172.2,6,Active
2026-08-09 22:00:00,Room A,186.2,6,Active
2026-08-09 22:00:00,Room B,172.1,6,Active
2026-08-09 22:15:00,Room A,183.9,6,Active
2026-08-09 22:15:00,Room B,171.8,6,Active
2026-08-09 22:30:00,Room A,181.3,6,Active
2026-08-09 22:30:00,Room B,165.5,6,Active
2026-08-09 22:45:00,Room A,180.6,6,Active
2026-08-09 22:45:00,Room B,162.8,6,Active
2026-08-09 23:00:00,Room A,184.1,6,Active
2026-08-09 23:00:00,Room B,167.6,6,Active
2026-08-09 23:15:00,Room A,182.7,6,Active
2026-08-09 23:15:00,Room B,165.2,6,Active
2026-08-09 23:30:00,Room A,178.9,6,Active
2026-08-09 23:30:00,Room B,161.1,6,Active
2026-08-09 23:45:00,Room A,179.0,6,Active
2026-08-09 23:45:00,Room B,160.8,6,Active
2026-08-10 00:00:00,Room A,189.9,6,Active
2026-08-10 00:00:00,Room B,171.4,6,Active
