Timestamp,UPS_ID,Status,Capacity_kW,IT_Load_Allocated_kW,Output_Load_kW,Input_Load_kW,Load_Percent,Efficiency_Percent,UPS_Loss_kW,Battery_Voltage,Estimated_Runtime_Min,Alarm_Code
2026-08-09 00:00:00,UPS-01,Online,300,112.4,112.4,126.9,37.5,94.5,14.5,480.3,35.0,
2026-08-09 00:00:00,UPS-02,Online,300,112.4,112.4,126.0,37.5,95.22,13.6,478.9,35.0,
2026-08-09 00:00:00,UPS-03,Online,300,112.4,112.4,126.8,37.5,94.64,14.4,481.8,35.0,
2026-08-09 00:15:00,UPS-01,Online,300,110.1,110.1,123.2,36.7,95.6,13.1,478.3,35.3,
2026-08-09 00:15:00,UPS-02,Online,300,110.1,110.1,123.5,36.7,95.3,13.4,481.7,35.3,
2026-08-09 00:15:00,UPS-03,Online,300,110.1,110.1,123.2,36.7,95.56,13.1,479.8,35.3,
2026-08-09 00:30:00,UPS-01,Online,300,111.1,111.1,125.0,37.0,94.96,13.9,480.6,35.2,
2026-08-09 00:30:00,UPS-02,Online,300,111.1,111.1,125.2,37.0,94.83,14.1,479.9,35.2,
2026-08-09 00:30:00,UPS-03,Online,300,111.1,111.1,125.6,37.0,94.46,14.5,478.8,35.2,
2026-08-09 00:45:00,UPS-01,Online,300,110.5,110.5,125.1,36.8,94.4,14.6,478.4,35.3,
2026-08-09 00:45:00,UPS-02,Online,300,110.5,110.5,125.1,36.8,94.4,14.6,480.2,35.3,
2026-08-09 00:45:00,UPS-03,Online,300,110.5,110.5,124.1,36.8,95.17,13.6,480.7,35.3,
2026-08-09 01:00:00,UPS-01,Online,300,110.9,110.9,123.8,37.0,95.73,12.9,478.5,35.2,
2026-08-09 01:00:00,UPS-02,Online,300,110.9,110.9,125.1,37.0,94.69,14.2,478.6,35.2,
2026-08-09 01:00:00,UPS-03,Online,300,110.9,110.9,124.6,37.0,95.15,13.7,479.1,35.2,
2026-08-09 01:15:00,UPS-01,Online,300,109.6,109.6,122.6,36.5,95.63,13.0,478.5,35.4,
2026-08-09 01:15:00,UPS-02,Online,300,109.6,109.6,122.6,36.5,95.64,13.0,478.2,35.4,
2026-08-09 01:15:00,UPS-03,Online,300,109.6,109.6,123.4,36.5,94.96,13.8,479.9,35.4,
2026-08-09 01:30:00,UPS-01,Online,300,111.0,111.0,124.4,37.0,95.37,13.4,481.8,35.2,
2026-08-09 01:30:00,UPS-02,Online,300,111.0,111.0,124.3,37.0,95.47,13.3,479.3,35.2,
2026-08-09 01:30:00,UPS-03,Online,300,111.0,111.0,125.5,37.0,94.44,14.5,480.2,35.2,
2026-08-09 01:45:00,UPS-01,Online,300,109.1,109.1,122.2,36.4,95.56,13.1,480.3,35.4,
2026-08-09 01:45:00,UPS-02,Online,300,109.1,109.1,123.7,36.4,94.3,14.6,478.2,35.4,
2026-08-09 01:45:00,UPS-03,Online,300,109.1,109.1,122.2,36.4,95.5,13.1,480.2,35.4,
2026-08-09 02:00:00,UPS-01,Online,300,108.9,108.9,121.8,36.3,95.67,12.9,478.9,35.5,
2026-08-09 02:00:00,UPS-02,Online,300,108.9,108.9,123.1,36.3,94.64,14.2,481.0,35.5,
2026-08-09 02:00:00,UPS-03,Online,300,108.9,108.9,122.6,36.3,95.01,13.7,478.3,35.5,
